"","X.1","X","U_ID","StartDate","Finished","ID","Picture","Color","Gender","Day","Month","Year","Certificate","QID93","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25_First.Click","Q25_Last.Click","Q25_Page.Submit","Q25_Click.Count","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15","Q27_16","Q27_17","Q27_18","Q27_19","Score"
"249",249,249,"A274","07/05/2020 02:28",TRUE,"4569","Octopus ","Pink ","Female",4,6,2007,"IGCSE (British)","","The compactness of a substance","mass X volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Bigger than","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","The blocks will float","I am not sure","Density","","More dense",6.921,16.727,17.456,2,"3: Somewhat true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","2",6
"250",250,250,"A275","07/05/2020 02:07",TRUE,"4574","Rabbit ","Pink","Male",24,11,2007,"IGCSE (British)","","Density is a measure of how compact the mass in a substance or object is","mass/volume","Not sure","","Bigger than","it has twice the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the weight of the object","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will float","Mass only","","Same density",5.156,6.531,8.551,2,"5: Very true","4","4","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","2","2","5: Very true","3: Somewhat true","4","4","4","4","4",7
"251",251,251,"A276","07/05/2020 02:16",TRUE,"4560","helicopte","pink","Male",5,3,2007,"IGCSE (British)","","the degree of compactness of a substance","mass/volume","Not sure","","Same as","it has the same volume as the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the weight of the object","The same density as 1 kg of wood","it has the same mass as the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","I am not sure","Another answer?","because it depends on the weight ","Less dense",9.915,63.901,64.825,6,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","4","1: Not at all true","3: Somewhat true","1: Not at all true","4","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","4","3: Somewhat true","5: Very true","4",6
"252",252,252,"A277","07/05/2020 02:27",TRUE,"4527","ant","pink","Male",19,5,2007,"IGCSE (British)","","i don't know","mass X volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Not sure","","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","More dense",3.027,3.027,8.177,1,"3: Somewhat true","3: Somewhat true","3: Somewhat true","4","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","2","1: Not at all true","1: Not at all true","2","2","3: Somewhat true","4",7
"253",253,253,"A278","07/05/2020 02:27",TRUE,"4548","Donkey","Pink","Male",7,8,2007,"IGCSE (British)","","When for example metal can be hollow or have metal inside it if it does than it is dense","volume/mass","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","I am not sure","Density","","More dense",10.147,10.147,15.388,1,"5: Very true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","3: Somewhat true",10
"254",254,254,"A279","07/05/2020 02:29",TRUE,"4559","grasshopper ","pink","Male",5,12,2007,"IGCSE (British)","","the thickness of a substance","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has the same volume as the original block","Smaller than","Agree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will sink","Mass only","","Less dense",12.819,15.281,17.153,2,"4","3: Somewhat true","5: Very true","5: Very true","4","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","4","1: Not at all true","5: Very true","4","5: Very true","5: Very true","5: Very true",4
"255",255,255,"A281","07/05/2020 02:38",TRUE,"4531","Bear","Pink","Male",16,11,2007,"IGCSE (British)","","Density is the mass of something for its volume ","volume/mass","Agree","Because density is a property of the matter, and it can never change","Smaller than","it has the same volume as the original block","Same as","Agree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","","More dense",10.538,10.538,11.496,1,"4","4","5: Very true","5: Very true","5: Very true","2","2","2","2","2","3: Somewhat true","3: Somewhat true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",5
"256",256,256,"A282","07/05/2020 02:43",TRUE,"4545","A deer","Pink","Male",3,8,2007,"IGCSE (British)","","Density is a measure of mass","mass/volume","Agree","Because the density can always change even if the pressure or temperature is constant","Bigger than","it has the same volume as the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the weight of the object","Half the density of 1 kg of wood","it has the same mass as the original block","it has twice the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","More dense",2.464,3.963,3.975,3,"4","5: Very true","5: Very true","5: Very true","5: Very true","4","3: Somewhat true","2","2","2","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",6
"257",257,257,"A283","07/05/2020 02:39",TRUE,"4533","Bicycle","Pink","Male",29,5,2007,"IGCSE (British)","","Density is how heavy something is","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Another answer?","All of these determine if the object will sink or float not only one","Less dense",8.916,59.459,60.264,6,"5: Very true","5: Very true","5: Very true","4","5: Very true","2","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","4","4","5: Very true","4","4",8
"258",258,258,"A284","07/05/2020 06:07",TRUE,"4480","IDK","IDK","Female",19,7,2007,"IGCSE (British)","","the mass of compaction o n somethign","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am not sure","The 2 blocks will sink","Another answer?","all of them judge whether it'll fall ","Less dense",2.4,66.469,68.061,7,"3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","4","2","4","4","5: Very true","5: Very true","5: Very true",7
"259",259,259,"B285","09/05/2020 06:59",TRUE,"4358","Eagle","Green ","Male",31,1,2006,"American Diploma","","density is an objects mass per unit volume or in other words how compact a substance is ","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","","Less dense",5.594,5.594,22.161,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","3: Somewhat true","5: Very true","1: Not at all true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",13
"260",260,260,"A294","11/05/2020 13:55",TRUE,"4381","Rocket","Green","Male",21,1,2007,"American Diploma","","a measure of the amount of information on a storage medium.","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",2.39,10.301,11.141,2,"3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","4","5: Very true","4","5: Very true",11
"261",261,261,"A295","11/05/2020 14:12",TRUE,"4374","mouse","green","Male",25,7,2004,"National","","the ammount of molecules of the matter in a known volume","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",8.118,8.118,8.863,1,"4","3: Somewhat true","2","5: Very true","5: Very true","3: Somewhat true","2","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","4","5: Very true","5: Very true","2","2","3: Somewhat true","4","2",14
"262",262,262,"A296","11/05/2020 14:12",TRUE,"4317","Rhino","Gold","Male",4,8,2005,"Other?","Nile Egyptian Schools Certificate (From cambridge not sure what the certificate is exactly)","The compactness of a substance ","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Volume only","","Less dense",4.856,4.856,5.693,1,"4","4","3: Somewhat true","4","5: Very true","3: Somewhat true","4","5: Very true","3: Somewhat true","4","4","3: Somewhat true","5: Very true","4","4","3: Somewhat true","4","5: Very true","5: Very true",11
"263",263,263,"A297","11/05/2020 14:15",TRUE,"4314","Penguin","Gold","Male",1,10,2005,"Other?","Certificate of Nile International Preparatory Education (CNIPE)","mass per volume","mass/volume","Agree","Because the density can always change even if the pressure or temperature is constant","Same as","it has the same volume as the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the weight of the object","Half the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","I am not sure","I am not sure","Density","","Less dense",4.884,4.884,6.2,1,"3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","2","1: Not at all true","2","3: Somewhat true","1: Not at all true","3: Somewhat true","1: Not at all true","5: Very true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true",7
"264",264,264,"A298","11/05/2020 13:55",TRUE,"4305","Hippo","Gold","Female",10,7,2006,"National","","how much space an object or substance takes up (its volume)","mass/volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","Less dense",70.657,70.657,80.213,1,"3: Somewhat true","2","4","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","2","4","3: Somewhat true","5: Very true","4","4","3: Somewhat true","2","2","3: Somewhat true","3: Somewhat true","3: Somewhat true",6
"265",265,265,"B299","11/05/2020 14:12",TRUE,"4326F","starfish","gold","Female",29,7,2005,"National","","the measurement that compares the amount of matter an object has to its volume","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the volume (how big it is)","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Volume only","","Same density",60.008,60.008,61.102,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","5: Very true","3: Somewhat true","2","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","4","5: Very true","5: Very true",8
"266",266,266,"B300","11/05/2020 14:12",TRUE,"4281","Buffalo","Dark yellow","Male",2,10,2005,"National","","density is an inverse relation between mass and volume","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",20.459,20.459,26.854,1,"4","4","3: Somewhat true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","5: Very true","5: Very true","5: Very true","4","4","4","3: Somewhat true","3: Somewhat true","4","4","4",16
"267",267,267,"A301","11/05/2020 13:55",TRUE,"4316","Rabbit","gold","Female",16,8,2007,"American Diploma","","it is property of matter,it is heavi of objects and it change when temprature change","mass/volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Bigger than","it has the same volume as the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","More dense",15.977,55.502,62.792,5,"5: Very true","4","3: Somewhat true","5: Very true","2","1: Not at all true","1: Not at all true","2","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","3: Somewhat true","3: Somewhat true","4",7
"268",268,268,"B302","11/05/2020 14:16",TRUE,"4372","lizard ","green","Male",2,8,2005,"National","","Density is a word we use to describe how much space an object or substance takes up (its volume) in relation to the amount of matter in that object or substance","mass/volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Bigger than","it has half the volume of the original block","Bigger than","Disagree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","Same density",7.639,67.683,74.768,9,"4","5: Very true","4","5: Very true","4","3: Somewhat true","3: Somewhat true","2","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","4","4","4","4","5: Very true","5: Very true","5: Very true",7
"269",269,269,"B303","11/05/2020 14:20",TRUE,"4292R","dog","dark yellow","Male",31,5,2005,"IGCSE (British)","","is the mass per volume","mass/volume","Not sure","","Bigger than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Same density",39.071,69.551,70.628,5,"4","4","5: Very true","5: Very true","5: Very true","2","1: Not at all true","3: Somewhat true","2","1: Not at all true","3: Somewhat true","2","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","4","4","3: Somewhat true",11
"270",270,270,"A304","11/05/2020 14:18",TRUE,"4329","tractor","gold","Female",11,2,2007,"National","","is the mass and volume taken by an object","mass X volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Same density",24.382,24.382,26.243,1,"4","2","3: Somewhat true","4","5: Very true","3: Somewhat true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","2","2","4","1: Not at all true","2","1: Not at all true","3: Somewhat true","4","3: Somewhat true",9
"271",271,271,"A305","11/05/2020 14:16",TRUE,"4375","Octopus ","Green","Female",9,9,2007,"National","","I dont remember ","mass/volume","Agree","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Less dense",14.802,14.802,15.652,1,"1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","2","3: Somewhat true","5: Very true","3: Somewhat true","3: Somewhat true","1: Not at all true","4","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true",11
"272",272,272,"A306","11/05/2020 14:26",TRUE,"4310","Llama","gold","Female",25,4,2005,"National","","it is used to describe how much an object takes up [volume] in a relation with the [mass]","volume/mass","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","","Same density",48.264,49.748,51.638,2,"3: Somewhat true","2","1: Not at all true","2","2","4","1: Not at all true","1: Not at all true","2","2","5: Very true","2","4","3: Somewhat true","3: Somewhat true","2","4","4","5: Very true",6
"273",273,273,"B307","11/05/2020 14:44",TRUE,"4353F","dog","green","Female",21,3,2005,"National","","the density is the amount of mass of an object to its volume","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","Less dense",24.482,24.482,30.234,1,"4","5: Very true","5: Very true","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","5: Very true","4","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",7
"274",274,274,"B308","11/05/2020 14:10",TRUE,"4371","Lion","Green","Male",1,6,2005,"National","","The density of a substance is the relationship between the mass of the substance and how much space it takes up (volume).","mass/volume","Not sure","","Same as","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",4.582,26.792,27.682,2,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","5: Very true","4","5: Very true","5: Very true","5: Very true",10
"275",275,275,"A309","13/05/2020 05:51",TRUE,"4648","starfish","pink","Male",10,10,2006,"IGCSE (British)","","mass over volum","mass/volume","Agree","Because the density can always change even if the pressure or temperature is constant","Same as","it has twice the volume of the original block","Bigger than","Disagree","Because what determines if an object will sink or float is the weight of the object","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Less dense",6.23,6.23,8.504,1,"1: Not at all true","1: Not at all true","2","2","5: Very true","5: Very true","5: Very true","3: Somewhat true","2","4","4","1: Not at all true","3: Somewhat true","2","4","5: Very true","3: Somewhat true","3: Somewhat true","4",10
"276",276,276,"A310","13/05/2020 05:51",TRUE,"4632","llama","purple","Male",21,11,2006,"IGCSE (British)","","interessting","mass/volume","Agree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Smaller than","Not sure","","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","More dense",2.654,3.709,4.484,2,"1: Not at all true","2","3: Somewhat true","2","4","3: Somewhat true","5: Very true","3: Somewhat true","2","1: Not at all true","4","5: Very true","4","2","3: Somewhat true","4","2","4","3: Somewhat true",8
"277",277,277,"A311","13/05/2020 05:51",TRUE,"4664","buffalo ","red to orange ","Female",15,11,2006,"IGCSE (British)","","how much an object takes place ","mass/volume","Not sure","","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will sink","I am not sure","Volume only","","Less dense",17.273,17.273,18.465,1,"3: Somewhat true","5: Very true","3: Somewhat true","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","1: Not at all true","3: Somewhat true","5: Very true","1: Not at all true","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true",6
"278",278,278,"A312","13/05/2020 05:58",TRUE,"4636","Pelican","Purple","Male",10,8,2006,"IGCSE (British)","","Density is how much mass is packed into a volume.","mass/volume","Not sure","","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","I am not sure","Density","","Less dense",1.512,10.428,11.324,2,"4","4","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","2","3: Somewhat true","4","2","1: Not at all true","3: Somewhat true","3: Somewhat true","2","4","4","3: Somewhat true",9
"279",279,279,"B313","13/05/2020 05:46",TRUE,"4668C","Car","Red","Male",1,10,2006,"IGCSE (British)","","Density is the mass of the substance","mass/volume","Not sure","","Same as","it has twice the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the weight of the object","The same density as 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Density","","More dense",6.185,6.185,7.349,1,"5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","2","2","2","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","4","3: Somewhat true","4","3: Somewhat true","5: Very true","5: Very true","5: Very true",7
"280",280,280,"A314","13/05/2020 06:03",TRUE,"4295","Duck","Gold","Male",10,12,2006,"IGCSE (British)","","Density is how much mass is in a certain area","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Bigger than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am not sure","The 2 blocks will float","Density","","Less dense",2.619,7.356,7.848,2,"3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","2","4","1: Not at all true","1: Not at all true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",13
"281",281,281,"A315","13/05/2020 05:49",TRUE,"4639","rhino","purple","Female",8,8,2006,"IGCSE (British)","","density is measure of mass","mass X volume","Agree","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","I am not sure","I am not sure","Density","","More dense",17.175,34.192,35.759,2,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","4","4","4","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","4","3: Somewhat true","5: Very true","4","5: Very true",7
"282",282,282,"A316","13/05/2020 05:57",TRUE,"4631","lizard","purple","Male",6,5,2007,"IGCSE (British)","","a measure of the amount of information on a storage medium","mass/volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","I am not sure","The 2 blocks will sink","Mass only","","More dense",15.399,17.782,19.839,3,"5: Very true","4","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","2","1: Not at all true","2","1: Not at all true","4","4","5: Very true","4","4",5
"283",283,283,"A317","13/05/2020 05:51",TRUE,"4650","swan","purple","Female",25,4,2006,"IGCSE (British)","","density is a measurment that compares the amount of matter an object has to its volume.","mass/volume","Not sure","","Bigger than","it has half the volume of the original block","Same as","Not sure","","Half the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","I am not sure","I am not sure","Density","","More dense",16.2,16.2,18.008,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","1: Not at all true","5: Very true","3: Somewhat true","4","4","5: Very true","5: Very true","3: Somewhat true",6
"284",284,284,"A318","13/05/2020 05:51",TRUE,"4635","owl","purple","Female",1,10,2006,"IGCSE (British)","","density is a measure of mass per unite of volume","mass/volume","Not sure","","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Less dense",43.024,43.024,44.753,1,"4","5: Very true","4","5: Very true","4","4","4","2","2","3: Somewhat true","5: Very true","2","4","3: Somewhat true","2","2","3: Somewhat true","3: Somewhat true","3: Somewhat true",8
"285",285,285,"A319","13/05/2020 05:59",TRUE,"4643","sealion","purple","Male",20,6,2006,"IGCSE (British)","","how compact a substance is","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has twice the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","More dense",6.786,29.606,32.36,5,"4","5: Very true","3: Somewhat true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","4","5: Very true","1: Not at all true","4","4","2","3: Somewhat true","5: Very true","5: Very true","5: Very true",8
"286",286,286,"A320","13/05/2020 06:06",TRUE,"4659","armadillo","red","Female",24,6,2006,"IGCSE (British)","","the consistency of a  substance","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","I am not sure","Density","","Less dense",6.096,13.334,14.405,2,"4","4","3: Somewhat true","4","5: Very true","3: Somewhat true","3: Somewhat true","2","2","2","1: Not at all true","2","2","2","4","3: Somewhat true","4","5: Very true","4",8
